0,1,2,3,4
14.0,42.0,20.0,20.0,35.0
13.0,30.0,47.0,16.0,12.0
10.0,17.0,10.0,9.0,11.0
44.0,33.0,17.0,10.0,22.0
12.0,24.0,29.0,22.0,27.0
12.0,19.0,25.0,13.0,34.0
12.0,11.0,18.0,13.0,30.0
11.0,19.0,33.0,11.0,11.0
23.0,16.0,22.0,12.0,21.0
41.0,43.0,13.0,11.0,10.0
53.0,18.0,10.0,18.0,23.0
27.0,14.0,18.0,16.0,34.0
25.0,9.0,20.0,11.0,15.0
14.0,14.0,13.0,11.0,17.0
40.0,20.0,13.0,18.0,15.0
25.0,14.0,11.0,15.0,20.0
17.0,17.0,12.0,19.0,50.0
26.0,21.0,21.0,20.0,14.0
80.0,11.0,41.0,16.0,13.0
11.0,16.0,11.0,22.0,35.0
33.0,13.0,21.0,12.0,23.0
78.0,15.0,35.0,12.0,19.0
15.0,14.0,11.0,14.0,33.0
22.0,10.0,14.0,20.0,15.0
12.0,12.0,25.0,30.0,15.0
22.0,36.0,33.0,32.0,22.0
10.0,24.0,22.0,15.0,30.0
10.0,24.0,32.0,35.0,17.0
10.0,33.0,16.0,10.0,19.0
21.0,36.0,18.0,19.0,26.0
23.0,18.0,17.0,35.0,34.0
10.0,37.0,15.0,15.0,14.0
16.0,12.0,24.0,28.0,22.0
34.0,13.0,15.0,13.0,33.0
24.0,16.0,9.0,16.0,36.0
17.0,15.0,9.0,19.0,20.0
42.0,14.0,14.0,40.0,15.0
16.0,10.0,17.0,20.0,15.0
14.0,25.0,20.0,19.0,13.0
20.0,20.0,18.0,19.0,49.0
26.0,85.0,25.0,15.0,17.0
21.0,13.0,11.0,19.0,18.0
22.0,20.0,12.0,9.0,22.0
21.0,25.0,13.0,38.0,27.0
25.0,21.0,16.0,12.0,51.0
56.0,14.0,16.0,19.0,25.0
37.0,37.0,11.0,13.0,16.0
22.0,25.0,21.0,16.0,9.0
13.0,26.0,30.0,23.0,20.0
51.0,18.0,21.0,13.0,10.0
25.0,19.0,22.0,13.0,18.0
28.0,18.0,20.0,17.0,21.0
38.0,23.0,54.0,18.0,15.0
23.0,38.0,26.0,23.0,18.0
14.0,12.0,31.0,15.0,25.0
36.0,26.0,13.0,19.0,12.0
50.0,54.0,8.0,11.0,24.0
23.0,18.0,14.0,18.0,12.0
32.0,34.0,14.0,23.0,76.0
15.0,16.0,12.0,16.0,15.0
29.0,30.0,18.0,22.0,23.0
28.0,47.0,26.0,11.0,19.0
45.0,28.0,19.0,31.0,16.0
63.0,14.0,19.0,11.0,48.0
66.0,15.0,37.0,14.0,12.0
31.0,39.0,18.0,11.0,20.0
47.0,44.0,10.0,23.0,20.0
16.0,49.0,17.0,13.0,14.0
20.0,28.0,19.0,10.0,22.0
18.0,25.0,11.0,34.0,11.0
22.0,38.0,13.0,13.0,31.0
25.0,16.0,24.0,9.0,16.0
27.0,22.0,18.0,11.0,15.0
55.0,37.0,14.0,24.0,13.0
11.0,37.0,24.0,25.0,22.0
25.0,26.0,21.0,17.0,11.0
72.0,20.0,17.0,25.0,13.0
19.0,28.0,10.0,18.0,23.0
14.0,30.0,21.0,18.0,19.0
27.0,62.0,9.0,11.0,14.0
53.0,22.0,15.0,12.0,38.0
13.0,66.0,13.0,8.0,16.0
42.0,13.0,18.0,16.0,29.0
37.0,14.0,16.0,21.0,26.0
43.0,15.0,10.0,14.0,43.0
52.0,14.0,12.0,19.0,10.0
102.0,19.0,25.0,36.0,13.0
31.0,9.0,15.0,10.0,14.0
46.0,76.0,10.0,16.0,64.0
38.0,15.0,19.0,11.0,29.0
17.0,26.0,20.0,9.0,19.0
35.0,23.0,11.0,14.0,15.0
39.0,24.0,14.0,11.0,14.0
42.0,25.0,10.0,19.0,11.0
47.0,55.0,10.0,11.0,16.0
27.0,16.0,12.0,11.0,24.0
13.0,21.0,11.0,8.0,24.0
25.0,21.0,13.0,12.0,20.0
83.0,36.0,11.0,24.0,15.0
55.0,21.0,11.0,10.0,16.0
25.0,64.0,13.0,10.0,32.0
42.0,15.0,20.0,14.0,25.0
39.0,13.0,13.0,13.0,16.0
63.0,21.0,12.0,11.0,14.0
71.0,106.0,9.0,15.0,15.0
54.0,38.0,9.0,11.0,21.0
19.0,18.0,9.0,18.0,42.0
37.0,31.0,16.0,16.0,9.0
49.0,19.0,10.0,37.0,15.0
59.0,13.0,12.0,12.0,21.0
18.0,38.0,9.0,13.0,18.0
93.0,29.0,12.0,13.0,70.0
45.0,31.0,9.0,11.0,12.0
67.0,27.0,9.0,13.0,19.0
23.0,17.0,10.0,10.0,10.0
23.0,32.0,11.0,30.0,15.0
21.0,38.0,11.0,10.0,34.0
27.0,13.0,8.0,11.0,16.0
20.0,15.0,9.0,18.0,21.0
59.0,29.0,9.0,15.0,12.0
32.0,15.0,11.0,11.0,14.0
48.0,31.0,12.0,10.0,10.0
20.0,49.0,10.0,15.0,26.0
95.0,46.0,12.0,10.0,21.0
17.0,17.0,9.0,10.0,21.0
33.0,53.0,10.0,16.0,14.0
27.0,32.0,12.0,10.0,14.0
52.0,25.0,10.0,11.0,12.0
27.0,33.0,9.0,10.0,9.0
35.0,19.0,17.0,13.0,10.0
28.0,21.0,10.0,13.0,10.0
44.0,34.0,17.0,10.0,16.0
31.0,46.0,10.0,12.0,15.0
93.0,63.0,9.0,8.0,14.0
13.0,19.0,12.0,11.0,13.0
33.0,17.0,8.0,9.0,12.0
22.0,28.0,11.0,9.0,21.0
26.0,31.0,10.0,9.0,20.0
33.0,46.0,9.0,11.0,12.0
36.0,14.0,9.0,13.0,28.0
28.0,25.0,15.0,10.0,19.0
29.0,14.0,14.0,8.0,12.0
56.0,53.0,10.0,9.0,24.0
14.0,33.0,13.0,10.0,51.0
34.0,34.0,10.0,14.0,16.0
23.0,72.0,9.0,9.0,41.0
32.0,24.0,9.0,11.0,32.0
129.0,44.0,10.0,14.0,60.0
59.0,70.0,10.0,19.0,18.0
42.0,69.0,10.0,9.0,17.0
37.0,18.0,11.0,11.0,15.0
52.0,67.0,11.0,12.0,63.0
18.0,50.0,10.0,10.0,26.0
61.0,14.0,10.0,10.0,29.0
40.0,31.0,10.0,11.0,32.0
31.0,19.0,12.0,18.0,31.0
55.0,44.0,13.0,10.0,17.0
29.0,24.0,8.0,11.0,17.0
52.0,31.0,9.0,10.0,72.0
53.0,52.0,9.0,10.0,76.0
29.0,81.0,11.0,8.0,17.0
56.0,27.0,9.0,13.0,16.0
63.0,29.0,12.0,8.0,59.0
52.0,38.0,9.0,9.0,19.0
42.0,70.0,11.0,10.0,22.0
51.0,70.0,8.0,10.0,20.0
70.0,21.0,8.0,13.0,41.0
37.0,90.0,9.0,10.0,14.0
11.0,16.0,10.0,19.0,29.0
28.0,58.0,11.0,12.0,32.0
58.0,57.0,9.0,10.0,30.0
62.0,58.0,9.0,13.0,57.0
44.0,61.0,10.0,10.0,58.0
41.0,51.0,12.0,8.0,25.0
21.0,27.0,10.0,9.0,10.0
21.0,48.0,13.0,10.0,11.0
29.0,76.0,9.0,10.0,20.0
45.0,20.0,9.0,9.0,20.0
46.0,62.0,9.0,15.0,17.0
47.0,30.0,12.0,10.0,22.0
14.0,32.0,12.0,10.0,42.0
38.0,33.0,9.0,10.0,12.0
13.0,32.0,10.0,8.0,33.0
45.0,48.0,8.0,12.0,36.0
30.0,21.0,12.0,17.0,54.0
35.0,113.0,10.0,10.0,24.0
56.0,74.0,9.0,13.0,26.0
17.0,56.0,10.0,12.0,13.0
119.0,37.0,9.0,12.0,49.0
36.0,35.0,10.0,10.0,31.0
25.0,51.0,13.0,10.0,14.0
32.0,89.0,12.0,9.0,13.0
71.0,56.0,12.0,10.0,10.0
66.0,95.0,9.0,12.0,13.0
111.0,39.0,12.0,11.0,26.0
70.0,53.0,8.0,10.0,20.0
49.0,17.0,9.0,11.0,26.0
31.0,31.0,9.0,10.0,15.0
32.0,23.0,12.0,8.0,60.0
23.0,87.0,10.0,10.0,56.0
39.0,22.0,11.0,10.0,29.0
48.0,19.0,10.0,11.0,37.0
29.0,75.0,10.0,10.0,22.0
20.0,14.0,10.0,10.0,26.0
26.0,28.0,10.0,10.0,51.0
16.0,27.0,9.0,9.0,36.0
40.0,39.0,9.0,10.0,31.0
57.0,36.0,10.0,10.0,56.0
75.0,41.0,10.0,10.0,20.0
62.0,44.0,12.0,9.0,38.0
41.0,47.0,10.0,14.0,25.0
20.0,21.0,12.0,9.0,10.0
34.0,103.0,13.0,12.0,33.0
52.0,100.0,9.0,10.0,27.0
54.0,27.0,8.0,9.0,32.0
31.0,37.0,9.0,10.0,32.0
36.0,48.0,11.0,9.0,36.0
64.0,23.0,10.0,11.0,31.0
55.0,106.0,9.0,10.0,20.0
61.0,45.0,12.0,10.0,26.0
21.0,20.0,9.0,10.0,36.0
37.0,71.0,11.0,9.0,56.0
33.0,55.0,9.0,9.0,28.0
25.0,39.0,11.0,10.0,55.0
66.0,38.0,9.0,9.0,23.0
